count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles,day_of_week,month,is_weekend,hour_bin,total_vehicles,total_cycles,vehicle_density_km,hgv_dominant,mean_vehicles_by_direction,lat_lon_delta
6016,W,2019,2019-10-02,16,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,7,1468,8,446,22,4,14,6,29,52,127,2056,2,10,0,Afternoon,2056,0,205.6,0,779.0666666666667,1.1002875979463762
6016,E,2019,2019-10-02,16,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,6,1999,7,407,42,1,3,13,78,62,199,2618,2,10,0,Afternoon,2618,0,261.8,0,598.2,1.1002875979463762
6016,E,2019,2019-10-02,11,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,1,1248,10,333,36,7,9,15,82,94,243,1835,2,10,0,Morning,1835,0,183.5,0,598.2,1.1002875979463762
6016,W,2019,2019-10-02,10,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,1,1307,18,341,31,12,14,14,96,78,245,1912,2,10,0,Morning,1912,0,191.2,0,779.0666666666667,1.1002875979463762
6016,E,2019,2019-10-02,17,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,8,1981,14,286,23,2,2,12,85,74,198,2487,2,10,0,Afternoon,2487,0,248.7,0,598.2,1.1002875979463762
6016,E,2019,2019-10-02,18,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,4,1422,10,224,26,2,1,9,77,46,161,1821,2,10,0,Evening,1821,0,182.1,0,598.2,1.1002875979463762
6016,W,2019,2019-10-02,8,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,11,1657,1,349,29,5,9,6,78,80,207,2225,2,10,0,Morning,2225,0,222.5,0,779.0666666666667,1.1002875979463762
6016,E,2019,2019-10-02,8,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,8,2174,8,574,87,11,18,6,63,105,290,3054,2,10,0,Morning,3054,0,305.4,0,598.2,1.1002875979463762
6016,E,2019,2019-10-02,14,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,4,1403,20,407,50,6,13,9,128,74,280,2114,2,10,0,Afternoon,2114,0,211.4,0,598.2,1.1002875979463762
6016,E,2019,2019-10-02,15,1,South West,68,Wiltshire,M4,Major,LA Boundary,17,389200,179080,51.510542,-2.1570149,10.0,6.21,0,9,1728,11,429,36,6,9,19,92,91,253,2430,2,10,0,Afternoon,2430,0,243.0,0,598.2,1.1002875979463762
